Price,Boat Type,Manufacturer,Type,Year Built,Length,Width,Material,Location,Number of views last 7 days
CHF 8300,"Sport Boat,Working Boat",Italmarine power boats,"Used boat,Unleaded",1986,4.28,1.65,Aluminium,Switzerland,205
Â£ 7000,"Cabin Boat,Classic",,"Used boat,Unleaded",1941,8.23,2.65,Wood,United,154
CHF 8200,Pilothouse,Lambro power boats,Used boat,0,6.16,2.48,GRP,Switzerland,463
EUR 7640,Deck Boat,Elan power boats,"Used boat,Unleaded",1985,4.5,2.1,GRP,Germany,200
CHF 8155,Bowrider,Terhi power boats,"new boat from stock,Unleaded",2020,4.45,1.85,Thermoplastic,Switzerland,462
EUR 7500,Center console boat,Fletcher power boats,"Used boat,Unleaded",1996,4.5,1.7,GRP,Germany,201
EUR 7500,Cabin Boat,,"Used boat,Diesel",1971,8.5,2.2,Steel,Netherlands,264
EUR 7500,Sport Boat,Sessa power boats,"Used boat,Unleaded",1997,5.8,2.2,,Italy,336
EUR 7500,Sport Boat,Fjord power boats,"Used boat,Unleaded",1971,5.7,2.2,GRP,Austria,137
EUR 7500,Sport Boat,Ultramar power boats,"Used boat,Unleaded",1994,5.5,2.45,PVC,France,208
EUR 7500,Cabin Boat,Yachting France power boats,"Used boat,Unleaded",1981,6.4,2.54,GRP,France,189
EUR 7500,Center console boat,B2 Marine power boats,"Used boat,Unleaded",2005,5.23,2.15,PVC,France,131
EUR 7500,Sport Boat,Volvo power boats,"Used boat,Unleaded",1995,5.8,2.28,GRP,Germany,490
EUR 7500,Catamaran,,Used boat,2010,4.4,3.0,,Netherlands,145
EUR 8790,Sport Boat,Fiberline power boats,new boat from stock,2019,4.4,1.65,,Germany,96
CHF 9400,Sport Boat,Sunseeker power boats,"Used boat,Unleaded",1976,5.85,2.3,GRP,Switzerland,280
EUR 8600,Sport Boat,Mingolla power boats,Used boat,2019,5.0,2.1,,Italy,146
EUR 8600,Sport Boat,Allegra power boats,new boat from stock,2018,5.3,2.2,,Italy,166
CHF 9265,Sport Boat,Karel power boats,"new boat on order,Unleaded",2020,4.8,1.9,GRP,Switzerland,873
CHF 9200,Sport Boat,Beekmann power boats,"Used boat,Unleaded",1990,5.18,2.18,GRP,Switzerland,258
EUR 8500,Deck Boat,Salmeri Boote power boats,new boat from stock,2018,5.53,2.18,,Italy,221
EUR 8500,Runabout,,"Used boat,Unleaded",1975,4.0,1.62,GRP,Slovenia,110
EUR 8500,Center console boat,B2 Marine power boats,"Used boat,Unleaded",2001,5.0,1.98,,France,96
EUR 8500,Center console boat,Allegra power boats,Used boat,2018,5.3,2.2,GRP,Italy,165
EUR 8500,Sport Boat,Sunbird power boats,"Used boat,Unleaded",1994,5.74,2.31,PVC,France,78
EUR 8500,Pilothouse,Jeanneau power boats,"Used boat,Unleaded",2006,5.8,2.5,PVC,France,116
EUR 8500,Sport Boat,Hellwig power boats,"Used boat,Unleaded",2016,3.1,1.4,GRP,Germany,250
EUR 8500,Center console boat,Janmor power boats,"Used boat,Unleaded",2005,5.3,2.33,,France,173
EUR 8500,"Deck Boat,Pilothouse,Sport Boat",,"Used boat,Unleaded",1998,7.9,2.5,Aluminium,Germany,738
CHF 10500,Sport Boat,,"Used boat,Unleaded",2019,3.38,1.36,Wood,Switzerland,503
EUR 9750,Trawler,Gouwerok power boats,Used boat,1980,8.5,3.0,Steel,Netherlands,183
CHF 10500,Fishing Boat,Marino CN power boats,"Used boat,Unleaded",2011,4.5,1.95,GRP,Switzerland,465
CHF 10500,Fishing Boat,Orkney power boats,Used boat,2016,,,,Switzerland,393
CHF 10450,Sport Boat,Marine power boats,new boat from stock,0,4.45,1.67,Aluminium,Switzerland,162
EUR 9650,Sport Boat,,"Used boat,Unleaded",1994,5.5,2.2,GRP,Germany,115
CHF 10400,Sport Boat,Draco power boats,"Used boat,Unleaded",1984,6.0,2.3,GRP,Switzerland,418
EUR 9599,Cabin Boat,Crescent power boats,Unleaded,1992,5.65,2.2,GRP,Germany,185
EUR 9575,Sport Boat,Sting power boats,new boat from stock,2016,4.88,2.03,GRP,Germany,64
CHF 10350,Sport Boat,Linder power boats,new boat from stock,0,4.51,1.75,Aluminium,Switzerland,168
EUR 9553,Motor Yacht,Moonday power boats,new boat from stock,2019,4.8,2.0,GRP,Netherlands,91
EUR 9500,Cabin Boat,Gouwerok power boats,Used boat,1964,8.4,2.85,Steel,Netherlands,138
EUR 9500,Sport Boat,Trimarchi  power boats,"new boat from stock,Gas",2019,5.7,2.1,GRP,Italy,184
EUR 9500,Motor Yacht,Cox Marine power boats,"Used boat,Diesel",1985,6.8,2.5,GRP,Germany,162
EUR 9500,Cabin Boat,,Used boat,1975,9.0,3.0,Steel,Netherlands,303
EUR 9500,Launch,Majoni power boats,Used boat,1998,3.99,1.74,,Spain,96
CHF 11000,Sport Boat,Supra power boats,"Used boat,Unleaded",1991,6.18,2.42,GRP,Switzerland,256
CHF 11000,Pontoon Boat,MÃ¤ndli power boats,Used boat,2006,7.0,1.9,Wood,Switzerland,230
CHF 11000,Fishing Boat,MÃ¤ndli power boats,"Used boat,Unleaded",2006,6.0,1.6,GRP,Switzerland,182
CHF 10990,Sport Boat,Buster power boats,new boat from stock,0,4.43,1.82,Aluminium,Switzerland,109
EUR 10115,Sport Boat,Italmar power boats,new boat from stock,2020,4.99,2.1,GRP,Germany,115
CHF 10900,Runabout,Safter Marine power boats,new boat on order,2020,4.5,1.65,GRP,Switzerland,159
CHF 10900,Sport Boat,Century power boats,"Used boat,Unleaded",1994,5.51,2.21,,Switzerland,1057
EUR 10000,Sport Boat,Bayliner power boats,"Used boat,Unleaded",1993,8.5,2.6,GRP,Italy,585
EUR 10000,Sport Boat,Cigala & Bertinetti power boats,"Used boat,Unleaded",1979,7.25,2.37,GRP,Italy,185
EUR 10000,Sport Boat,Allegra power boats,new boat from stock,2018,5.9,2.38,,Italy,155
EUR 10000,Trawler,,Used boat,1978,7.8,2.45,Steel,Netherlands,186
EUR 10000,Working Boat,Costruzioni Navali Srl power boats,"Used boat,Diesel",1975,12.0,3.0,Steel,Italy,182
EUR 10000,"Cabin Boat,Trawler",Werner  power boats,"Used boat,Diesel",1940,12.5,2.5,Steel,Germany,900
EUR 10000,Sport Boat,A. Mostes power boats,"Used boat,Unleaded",1991,7.15,2.36,GRP,Italy,783
EUR 10000,Sport Boat,Bayliner power boats,Used boat,1995,7.02,2.52,PVC,France,175
EUR 10000,Cabin Boat,Bayliner power boats,"Used boat,Unleaded",1995,7.02,2.52,PVC,France,207
EUR 11000,Sport Boat,Bayliner power boats,Used boat,1988,6.3,2.34,GRP,Italy,284
EUR 11000,Motor Yacht,Chrysler power boats,"Used boat,Unleaded",1974,4.9,2.1,GRP,Germany,125
EUR 11000,Cabin Boat,Stingray power boats,Used boat,1997,6.5,2.4,GRP,Italy,229
EUR 11000,Sport Boat,Bayliner power boats,"Used boat,Unleaded",1996,7.03,2.54,PVC,France,226
EUR 11000,"Bowrider,Classic",Sunbird power boats,"Used boat,Unleaded",1971,5.79,2.2,Wood,France,87
EUR 11000,Sport Boat,Mery Nautic power boats,"Used boat,Unleaded",1999,5.2,2.15,,France,95
EUR 11000,Cabin Boat,Glastron power boats,"Used boat,Unleaded",1998,6.13,2.39,GRP,Italy,175
EUR 11000,Sport Boat,Sea Ray power boats,"Used boat,Unleaded",1992,7.8,2.59,GRP,Italy,173
EUR 11000,"Motor Yacht,Sport Boat",Rio power boats,"Used boat,Unleaded",2000,6.0,2.4,GRP,Spain,422
EUR 11000,Cabin Boat,Birchwood power boats,"Used boat,Unleaded",1986,7.4,2.5,GRP,Germany,243
EUR 11000,Sport Boat,Bayliner power boats,Used boat,1987,7.62,2.97,GRP,Netherlands,254
EUR 10999,Deck Boat,Quicksilver (Brunswick Marine) power boats,new boat from stock,2020,5.07,2.12,GRP,Germany,150
EUR 10999,Sport Boat,BlueCraft power boats,"new boat from stock,Unleaded",2020,5.1,2.1,GRP,Germany,255
EUR 10999,Sport Boat,Remus power boats,new boat from stock,2020,5.2,2.22,GRP,Germany,179
EUR 10990,Cabin Boat,Quicksilver power boats,"Used boat,Unleaded",2003,4.7,2.3,GRP,Germany,169
EUR 10990,Cabin Boat,Polar power boats,Diesel,1977,6.7,2.3,GRP,Germany,136
EUR 12000,Sport Boat,BÃ©nÃ©teau power boats,"Used boat,Unleaded",1993,7.75,2.75,PVC,France,141
EUR 12000,"Classic,Runabout,Sport Boat",Cranchi power boats,"Used boat,Unleaded",1990,6.43,2.25,GRP,Serbia,442
EUR 12000,Cabin Boat,,"Used boat,Unleaded",1973,7.0,1.9,Wood,Germany,241
EUR 12000,Cabin Boat,Wiking power boats,"Used boat,Diesel",1979,6.5,2.2,GRP,Germany,327
EUR 12000,Sport Boat,Gobbi power boats,"Used boat,Unleaded",1988,6.16,2.49,Plastic,Italy,188
EUR 12000,"Cabin Boat,Motor Yacht",Fjord power boats,"Used boat,Diesel",1978,7.2,2.95,GRP,Germany,1101
EUR 12000,Cabin Boat,,"Used boat,Unleaded",1970,7.75,2.65,Steel,Netherlands,370
EUR 11990,Sport Boat,,new boat from stock,2019,4.6,1.8,Aluminium,Germany,133
EUR 11990,Sport Boat,Quicksilver power boats,"Used boat,Unleaded",2005,5.0,4.96,PVC,France,141
CHF 12950,Sport Boat,Atlantic Marine power boats,new boat from stock,2019,5.3,2.39,GRP,Switzerland,284
DKK 89000,Sport Boat,Crescent power boats,new boat from stock,2019,4.0,1.0,,Denmark,166
DKK 89000,Launch,,new boat from stock,2020,4.0,2.0,,Denmark,134
CHF 12900,Runabout,Safter Marine power boats,new boat from stock,2020,5.0,1.9,GRP,Switzerland,273
CHF 12900,Working Boat,Tinn-Silver power boats,"Display Model,Unleaded",2019,4.5,1.75,Aluminium,Switzerland,365
CHF 13888,Runabout,Larson power boats,"Used boat,Unleaded",1994,5.8,2.47,,Switzerland,333
EUR 12800,Sport Boat,,"Used boat,Unleaded",2019,4.8,2.0,GRP,Germany,73
EUR 12800,Sport Boat,Four Winns power boats,Used boat,1994,6.4,2.36,,Belgium,235
EUR 12770,Bowrider,Maxima power boats,new boat from stock,2020,4.9,1.9,GRP,Germany,180
DKK 94990,Launch,,new boat from stock,2020,4.0,1.0,,Denmark,67
EUR 12750,Deck Boat,,new boat from stock,2020,5.7,2.25,,Germany,97
EUR 12680,Fishing Boat,Gropp power boats,Display Model,0,5.5,1.65,Aluminium,Switzerland,159
CHF 13690,Sport Boat,Orkney power boats,new boat from stock,0,4.24,1.8,GRP,Switzerland,349
EUR 12500,Deck Boat,Quicksilver (Brunswick Marine) power boats,"new boat from stock,Unleaded",2019,5.0,2.0,GRP,Italy,147
EUR 12500,Trawler,,"Used boat,Diesel",1973,8.5,3.1,Steel,Netherlands,177
EUR 12500,Trawler,Schlosswerft power boats,"Used boat,Diesel",1913,14.7,3.65,Steel,Germany,235
EUR 12500,Sport Boat,Sea Ray power boats,"Used boat,Unleaded",1994,5.6,2.2,GRP,Italy,452
EUR 12500,Cabin Boat,Compromis power boats,Used boat,1983,7.2,2.85,GRP,Netherlands,165
EUR 12500,"Classic,Launch",,Used boat,1965,6.12,2.22,Wood,Netherlands,160
EUR 12500,"Classic,Launch",,Used boat,1950,6.0,2.2,Wood,Netherlands,162
CHF 14800,Bowrider,Ranieri International power boats,new boat from stock,0,5.1,2.1,GRP,Switzerland,278
CHF 14800,"Cabin Boat,Sport Boat",Windy power boats,"Used boat,Unleaded",1984,7.05,2.5,GRP,Switzerland,436
EUR 13690,Deck Boat,Jeanneau power boats,new boat from stock,2014,5.0,2.0,PVC,Slovak,35
CHF 14700,Bowrider,Yamarin power boats,new boat from stock,2018,4.57,1.93,GRP,Switzerland,212
EUR 13566,Sport Boat,Eolo power boats,new boat from stock,2019,5.7,2.1,,Germany,214
CHF 14500,Pilothouse,Draco power boats,"Used boat,Unleaded",1992,6.77,2.28,,Switzerland,760
EUR 13500,Sport Boat,Acquaviva (IT) power boats,"Used boat,Unleaded",1998,5.95,2.48,GRP,Italy,121
EUR 13500,Sport Boat,,"Used boat,Unleaded",1997,6.4,2.54,GRP,Italy,222
EUR 13500,Pilothouse,Arvor power boats,"Used boat,Diesel",1999,6.16,2.48,PVC,France,110
EUR 13500,Motor Yacht,Bayliner power boats,Used boat,1995,7.75,2.57,GRP,Netherlands,83
EUR 13500,Sport Boat,Lema power boats,"Used boat,Diesel",1996,7.0,2.0,PVC,Spain,264
EUR 13500,Center console boat,Ranieri power boats,"Used boat,Unleaded",2002,5.45,2.15,GRP,Italy,109
EUR 13500,Sport Boat,Windy power boats,"Used boat,Unleaded",1990,8.8,2.79,GRP,Croatia,132
EUR 13500,Deck Boat,Jeanneau power boats,"Used boat,Unleaded",2014,4.5,2.0,PVC,France,81
EUR 13500,Sport Boat,BÃ©nÃ©teau power boats,"Used boat,Diesel",2006,6.5,2.44,Steel,France,262
EUR 13500,Launch,,"Used boat,Unleaded",1963,6.0,2.4,Wood,Netherlands,214
EUR 14500,Bowrider,Bayliner power boats,"Used boat,Unleaded",1998,3.0,2.0,PVC,Portugal,186
CHF 15619,Sport Boat,Buster power boats,new boat from stock,0,4.86,1.85,Aluminium,Switzerland,81
CHF 15600,Fishing Boat,Smartliner power boats,new boat on order,2020,5.76,2.25,GRP,Switzerland,292
EUR 14400,Fishing Boat,,new boat from stock,0,5.0,2.0,,Italy,279
EUR 14366,Runabout,Karnic power boats,new boat from stock,2018,4.9,2.08,GRP,Germany,119
CHF 15500,Center console boat,Seagull power boats,"Used boat,Unleaded",2006,5.25,2.16,GRP,Switzerland,151
CHF 15400,Motor Yacht,B2 Marine power boats,new boat from stock,2019,4.52,1.9,,Switzerland,220
EUR 14200,Sport Boat,Allegra power boats,Used boat,2019,6.35,2.45,,Italy,172
EUR 14200,Sport Boat,Romar power boats,new boat from stock,2019,5.68,1.99,GRP,Switzerland,285
EUR 14000,Sport Boat,Gobbi power boats,Used boat,1997,9.15,3.0,GRP,Italy,281
EUR 14000,Deck Boat,Mingolla power boats,Used boat,2019,6.42,2.38,,Italy,152
EUR 14000,Sport Boat,Gobbi power boats,"Used boat,Unleaded",1990,6.42,2.38,GRP,Italy,132
EUR 14000,Sport Boat,Allegra power boats,new boat from stock,2018,5.6,2.35,,Italy,70
EUR 14000,Cabin Boat,SAS-Vektor power boats,"Used boat,Unleaded",2008,4.99,2.07,GRP,Croatia,118
EUR 14000,Sport Boat,Rinker power boats,"Used boat,Unleaded",1992,7.16,2.59,,Italy,208
EUR 14950,Motor Yacht,Quicksilver power boats,Used boat,2008,5.55,2.47,,Germany,238
EUR 14900,Sport Boat,Marinello power boats,"new boat from stock,Unleaded",2014,4.7,1.85,GRP,Germany,156
EUR 14900,Motor Yacht,Sea Ray power boats,"Used boat,Unleaded",1983,10.0,3.0,GRP,Croatia,111
EUR 14900,Pontoon Boat,Ranieri International power boats,"new boat from stock,Unleaded",2020,5.55,2.18,GRP,Italy,87
EUR 14900,Fishing Boat,Vizion power boats,new boat from stock,2019,4.7,1.95,Aluminium,Germany,70
EUR 14900,"Cabin Boat,Classic",,Used boat,1948,8.25,2.65,Wood,Netherlands,155
EUR 14900,Flybridge,Draco power boats,"Used boat,Diesel",1980,9.1,3.14,GRP,Italy,356
EUR 14900,Cabin Boat,Hilter power boats,"Used boat,Unleaded",1984,7.9,2.5,GRP,Germany,198
EUR 14900,Deck Boat,Jeanneau power boats,"Used boat,Unleaded",2017,5.15,2.15,PVC,France,68
EUR 14900,Center console boat,Ultramar power boats,"Used boat,Unleaded",2018,5.3,1.96,,Germany,103
EUR 14900,Trawler,,Used boat,1975,10.3,3.0,Steel,Netherlands,225
EUR 14900,Pontoon Boat,Ranieri International power boats,"new boat from stock,Unleaded",2020,5.55,2.18,GRP,Switzerland,80
EUR 14900,Trawler,,Used boat,2001,8.3,3.0,Steel,Netherlands,309
EUR 14900,Cabin Boat,Jeanneau power boats,"Used boat,Unleaded",2002,5.0,2.1,GRP,Germany,180
EUR 15500,Cabin Boat,Seaswirl power boats,"Used boat,Unleaded",1995,6.5,2.5,GRP,Germany,145
EUR 15500,Deck Boat,,"new boat from stock,Unleaded",2020,5.53,2.18,,Italy,50
EUR 15500,Sport Boat,Maxum power boats,"Used boat,Diesel",2007,6.12,2.31,,Malta,185
EUR 15500,Sport Boat,Fjord Plast power boats,"Used boat,Unleaded",1979,6.5,2.5,GRP,Austria,125
EUR 15500,"Motor Yacht,Sport Boat",Scand power boats,"Used boat,Unleaded",1993,9.2,2.98,GRP,Austria,236
EUR 15500,Trawler,Hoekstra power boats,Used boat,1976,9.5,3.2,Steel,Netherlands,253
EUR 15500,Trawler,SkilsÃ¶ power boats,"Used boat,Diesel",1979,7.0,2.5,GRP,Germany,311
EUR 15499,Cabin Boat,Quicksilver (Brunswick Marine) power boats,new boat from stock,2020,5.5,2.29,GRP,Germany,219
EUR 15490,Deck Boat,Jeanneau power boats,new boat from stock,2017,5.0,2.0,PVC,Slovak,71
EUR 15446,Center console boat,Jeanneau power boats,new boat on order,2020,5.48,2.36,GRP,Germany,56
EUR 15446,Center console boat,Jeanneau power boats,"new boat from stock,Unleaded",0,6.34,2.48,GRP,Germany,148
EUR 15400,Center console boat,Ranieri power boats,new boat from stock,2019,6.0,2.25,GRP,Italy,116
DKK 114500,Deck Boat,Crescent power boats,,2019,5.0,1.0,,Denmark,45
Â£ 13995,Cabin Boat,Atlanta power boats,Used boat,0,7.37,1.85,,United,140
EUR 16490,Deck Boat,Quicksilver power boats,"new boat from stock,Unleaded",0,4.54,1.85,GRP,Germany,54
Â£ 14950,Center console boat,Buster power boats,new boat from stock,2018,4.57,1.83,,United,53
CHF 17684,Fishing Boat,VBoats power boats,"new boat from stock,Unleaded",2020,4.7,2.02,Aluminium,Switzerland,341
EUR 16314,Center console boat,Jeanneau power boats,"new boat from stock,Unleaded",0,5.48,2.36,GRP,Germany,90
CHF 17500,Pilothouse,Milan  power boats,"Used boat,Diesel",1992,6.19,2.4,GRP,Switzerland,201
EUR 16304,Deck Boat,Quicksilver power boats,"new boat from stock,Unleaded",0,4.54,1.85,GRP,Germany,98
EUR 16220,Center console boat,Jeanneau power boats,new boat from stock,2020,5.48,2.36,GRP,Germany,99
EUR 16219,Deck Boat,Jeanneau power boats,"new boat from stock,Unleaded",0,5.48,2.36,GRP,Germany,75
EUR 16200,Sport Boat,,new boat from stock,0,5.7,2.5,GRP,Germany,108
EUR 16190,Sport Boat,AMT power boats,new boat from stock,2019,5.15,2.08,GRP,Germany,60
CHF 17500,Pontoon Boat,Doral power boats,"Used boat,Unleaded",1995,7.2,2.57,GRP,Switzerland,387
CHF 17400,Pilothouse,Smartliner power boats,new boat on order,2020,6.4,2.25,GRP,Switzerland,399
CHF 17400,Center console boat,Morningstar power boats,new boat from stock,2019,5.0,2.0,Aluminium,Switzerland,149
DKK 119500,Deck Boat,Yamarin power boats,new boat from stock,2020,4.0,1.0,,Denmark,50
EUR 16000,Sport Boat,Bombardier power boats,"Used boat,Unleaded",1998,7.35,2.6,GRP,Croatia,141
EUR 16900,Pilothouse,Smartliner power boats,"Used boat,Unleaded",2017,6.45,2.25,PVC,Montenegro,53
EUR 16900,Cabin Boat,Four Winns power boats,"Used boat,Unleaded",1992,6.3,2.34,GRP,Germany,154
EUR 16900,Bowrider,Wellcraft power boats,"Used boat,Unleaded",1995,8.53,2.59,,France,244
EUR 16900,Center console boat,Allegra power boats,"Used boat,Unleaded",2019,5.6,2.16,GRP,Italy,107
EUR 16900,"Cabin Boat,Sport Boat",Fairline power boats,"Used boat,Unleaded",1985,8.04,3.06,GRP,Germany,405
EUR 16900,Motor Yacht,Jeanneau power boats,Used boat,2005,7.15,2.59,PVC,France,62
EUR 16900,Motor Yacht,Jeanneau power boats,"Used boat,Unleaded",2005,7.15,2.59,PVC,France,98
EUR 16900,Sport Boat,BÃ©nÃ©teau power boats,"Used boat,Unleaded",2003,5.47,2.34,PVC,Spain,152
EUR 16900,Motor Yacht,Moonfleet power boats,Used boat,0,4.8,1.6,,Latvia,121
EUR 16900,Trawler,GioMare power boats,Used boat,1995,5.7,2.8,GRP,Rovinij,172
CHF 18260,Bowrider,Bella power boats,Display Model,2019,5.01,2.01,GRP,Switzerland,339
EUR 16870,Sport Boat,Yamarin power boats,new boat from stock,2020,5.53,2.24,GRP,Germany,127
